,Loss,acc_score,ϵ,model
0,0.6971627764701843,0.532,0,baseline
1,0.742501480102539,0.462,0,baseline
2,0.692225152015686,0.487,0,baseline
3,0.7014731822013855,0.462,0,baseline
4,0.7117598614692688,0.463,0,baseline
5,0.7065323739051819,0.462,0,baseline
6,0.6911954154968262,0.533,0,baseline
7,0.6918291292190552,0.538,0,baseline
8,0.6891325016021729,0.602,0,baseline
9,0.7054264712333679,0.365,0,baseline
10,0.6999620475769043,0.461,0,baseline
11,0.6953304467201233,0.533,0,baseline
12,0.6964291954040527,0.503,0,baseline
13,0.6940446252822876,0.494,0,baseline
14,0.6916735363006592,0.528,0,baseline
15,0.6955761780738831,0.462,0,baseline
16,0.7121906228065491,0.462,0,baseline
17,0.7480194230079651,0.462,0,baseline
18,0.69592227268219,0.436,0,baseline
19,0.6983060870170593,0.452,0,baseline
20,0.7115757942199707,0.532,1,baseline
21,0.6856860346794128,0.628,1,baseline
22,0.7003342928886414,0.531,1,baseline
23,0.6978375215530396,0.526,1,baseline
24,0.7254478693008423,0.532,1,baseline
25,0.6880977373123169,0.535,1,baseline
26,0.7269789600372314,0.463,1,baseline
27,0.7173808012008667,0.463,1,baseline
28,0.6891531386375427,0.533,1,baseline
29,0.6925112457275391,0.536,1,baseline
30,0.6915739078521729,0.501,1,baseline
31,0.7208675994873047,0.463,1,baseline
32,0.7085465545654297,0.462,1,baseline
33,0.6853916807174683,0.543,1,baseline
34,0.6993425583839417,0.532,1,baseline
35,0.6997018547058106,0.453,1,baseline
36,0.6942170476913452,0.47,1,baseline
37,0.6919360198974609,0.534,1,baseline
38,0.6918333597183227,0.553,1,baseline
39,0.694879900932312,0.53,1,baseline
40,0.723987051486969,0.461,2,baseline
41,0.7105911598205567,0.462,2,baseline
42,0.6948824729919434,0.533,2,baseline
43,0.6926689882278443,0.53,2,baseline
44,0.6876969857215881,0.533,2,baseline
45,0.6914161720275879,0.491,2,baseline
46,0.7240828471183777,0.462,2,baseline
47,0.6939041090011596,0.531,2,baseline
48,0.6941823434829711,0.486,2,baseline
49,0.7274706974029541,0.462,2,baseline
50,0.6967808485031128,0.531,2,baseline
51,0.7020953459739685,0.463,2,baseline
52,0.721336989402771,0.532,2,baseline
53,0.6969748520851136,0.459,2,baseline
54,0.7264738798141479,0.463,2,baseline
55,0.7151314363479614,0.463,2,baseline
56,0.728849663734436,0.532,2,baseline
57,0.7116499300003052,0.46,2,baseline
58,0.6859367237091064,0.566,2,baseline
59,0.7062722444534302,0.462,2,baseline
60,0.6857723026275635,0.549,3,baseline
61,0.6980486927032471,0.41,3,baseline
62,0.6903165111541748,0.532,3,baseline
63,0.696677963256836,0.456,3,baseline
64,0.7135418477058411,0.532,3,baseline
65,0.7051362361907959,0.531,3,baseline
66,0.697480797290802,0.532,3,baseline
67,0.7025330157279969,0.46,3,baseline
68,0.7148787698745728,0.462,3,baseline
69,0.6941884799003601,0.531,3,baseline
70,0.6921840562820435,0.51,3,baseline
71,0.694301794052124,0.532,3,baseline
72,0.7640577459335327,0.462,3,baseline
73,0.7034763689041138,0.532,3,baseline
74,0.6988698449134827,0.531,3,baseline
75,0.7080957698822021,0.462,3,baseline
76,0.6997417669296264,0.462,3,baseline
77,0.6957790431976318,0.532,3,baseline
78,0.6919193868637085,0.506,3,baseline
79,0.7124935474395752,0.531,3,baseline
80,0.7242801685333252,0.462,4,baseline
81,0.6979019203186035,0.438,4,baseline
82,0.6976328125,0.44,4,baseline
83,0.6947864227294922,0.463,4,baseline
84,0.7016343154907226,0.532,4,baseline
85,0.6941651039123535,0.531,4,baseline
86,0.7243409476280213,0.531,4,baseline
87,0.7334793658256531,0.462,4,baseline
88,0.7009040884971619,0.533,4,baseline
89,0.7047761573791503,0.462,4,baseline
90,0.6924574737548828,0.532,4,baseline
91,0.6944247779846191,0.524,4,baseline
92,0.7040136699676514,0.461,4,baseline
93,0.6913506183624267,0.482,4,baseline
94,0.6974778146743774,0.465,4,baseline
95,0.7321191329956055,0.462,4,baseline
96,0.7014679021835327,0.535,4,baseline
97,0.7070461339950561,0.531,4,baseline
98,0.6973916244506836,0.462,4,baseline
99,0.7267122783660889,0.462,4,baseline
100,0.7014171266555786,0.531,5,baseline
101,0.7226569623947143,0.462,5,baseline
102,0.6942633714675903,0.531,5,baseline
103,0.6959973115921021,0.489,5,baseline
104,0.6981604266166687,0.458,5,baseline
105,0.7064020204544067,0.439,5,baseline
106,0.7046087417602539,0.532,5,baseline
107,0.711840781211853,0.463,5,baseline
108,0.7006521530151367,0.528,5,baseline
109,0.692332887172699,0.505,5,baseline
110,0.6974211239814758,0.424,5,baseline
111,0.7100422420501709,0.532,5,baseline
112,0.7378278985023499,0.532,5,baseline
113,0.7086820335388183,0.532,5,baseline
114,0.7169513034820557,0.463,5,baseline
115,0.69488938331604,0.53,5,baseline
116,0.6909562273025512,0.467,5,baseline
